order,mean_estimate,std_estimate,reference_gap,total_error
2,0.1085670960075428,0.03530979217016354,0.031217421971700396,0.03800996316434311
3,0.10381338319554904,0.021394641248406586,0.02646370915970664,0.028061286458709155
4,0.09514731424425894,0.01409370824036253,0.017797640208416537,0.018464393595574925
5,0.09608128753647115,0.012416281986053742,0.01873161350062874,0.019019267959196652
6,0.0978502917603105,0.0122313974252755,0.020500617724468095,0.020809099135547824
8,0.09706589257311968,0.00814630871596771,0.019716218537277272,0.019716218537277275
10,0.09634634293612279,0.011896700909509728,0.018996668900280386,0.01950072041637182
12,0.09403350557987201,0.00916865296971663,0.01668383154402961,0.016930498862796572
