scheme,accuracy,std,svm_seconds
single n=2,0.7818713450292398,0.1161129237022893,0.0009084500023163855
single n=3,0.7444444444444445,0.10839503757906976,0.000851040001725778
single n=4,0.6912280701754386,0.04975917517235707,0.0009116699919104576
single n=6,0.6491228070175439,0.04892748693181727,0.0006147999956738204
single n=8,0.6804093567251462,0.07736176342127321,0.0007398699875921011
uniform,0.722514619883041,0.10687924467407993,0.0006982399965636433
inverse order,0.7014619883040936,0.11003246829240854,0.0007444399991072715
sqrt inverse,0.7119883040935673,0.09548921516261948,0.0007370300008915365
